path_type,trip_count,total_distance_km,total_energy_kwh,total_carbon_kgco2,average_distance_km,average_energy_kwh,average_carbon_kgco2
shorter_with_more_slope,77120,744046.98,1475803.59,811706.02,9.64791208506224,19.13645733921162,10.525233661825727
balanced_low_congestion,77120,791549.27,1569783.09,863394.37,10.263865015560166,20.355071187759336,11.195466415975103
longer_but_flatter,77120,854872.87,1695040.34,932286.65,11.084969787344399,21.979257520746888,12.088779175311204
