strategy,trip_count,total_distance_km,total_energy_kwh,total_carbon_kgco2,average_distance_km,average_energy_kwh,average_carbon_kgco2
Shortest distance,77120,744046.98,1475803.59,811706.02,9.64791208506224,19.13645733921162,10.525233661825727
Lowest energy,77120,744053.97,1475802.48,811705.39,9.648002723029045,19.13644294605809,10.52522549273859
