trip_id,route_id,start_time,end_time,origin,destination,distance_km,candidate_path,source
1862-1-448-2203,1862,22:03:00,22:24:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2213,1862,22:13:00,22:34:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2220,1862,22:20:00,22:41:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2230,1862,22:30:00,22:51:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2237,1862,22:37:00,22:58:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2247,1862,22:47:00,23:08:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2254,1862,22:54:00,23:15:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2304,1862,23:04:00,23:25:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2311,1862,23:11:00,23:32:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2321,1862,23:21:00,23:42:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2328,1862,23:28:00,23:49:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2338,1862,23:38:00,23:59:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2345,1862,23:45:00,24:06:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2355,1862,23:55:00,24:16:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2402,1862,24:02:00,24:23:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2412,1862,24:12:00,24:33:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2419,1862,24:19:00,24:40:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-1-448-2429,1862,24:29:00,24:50:00,[CTB] 屯门码头,[LRTFeeder] 兆麟,5.11,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0545,1862,05:45:00,06:06:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0552,1862,05:52:00,06:13:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0602,1862,06:02:00,06:23:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0609,1862,06:09:00,06:30:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0619,1862,06:19:00,06:40:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0626,1862,06:26:00,06:47:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0636,1862,06:36:00,06:57:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0643,1862,06:43:00,07:04:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0653,1862,06:53:00,07:14:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0700,1862,07:00:00,07:21:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0710,1862,07:10:00,07:31:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0717,1862,07:17:00,07:38:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0727,1862,07:27:00,07:48:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0734,1862,07:34:00,07:55:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0744,1862,07:44:00,08:05:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0751,1862,07:51:00,08:12:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0801,1862,08:01:00,08:22:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0808,1862,08:08:00,08:29:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0818,1862,08:18:00,08:39:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0825,1862,08:25:00,08:46:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0835,1862,08:35:00,08:56:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0842,1862,08:42:00,09:03:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0852,1862,08:52:00,09:13:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0859,1862,08:59:00,09:20:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0909,1862,09:09:00,09:30:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0916,1862,09:16:00,09:37:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0926,1862,09:26:00,09:47:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0933,1862,09:33:00,09:54:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0943,1862,09:43:00,10:04:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-0950,1862,09:50:00,10:11:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1000,1862,10:00:00,10:21:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1007,1862,10:07:00,10:28:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1017,1862,10:17:00,10:38:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1024,1862,10:24:00,10:45:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1034,1862,10:34:00,10:55:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1041,1862,10:41:00,11:02:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1051,1862,10:51:00,11:12:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1058,1862,10:58:00,11:19:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1108,1862,11:08:00,11:29:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1115,1862,11:15:00,11:36:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1125,1862,11:25:00,11:46:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1132,1862,11:32:00,11:53:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
1862-2-448-1142,1862,11:42:00,12:03:00,[LRTFeeder] 兆麟,[CTB] 屯门码头,4.50,1862,DATA.GOV.HK pt-headway GTFS
